Date,Exchange Rate
01.01.2024,1.20263
02.01.2024,1.21127
03.01.2024,1.20463
04.01.2024,1.20137
05.01.2024,1.19718
06.01.2024,1.19718
07.01.2024,1.19718
08.01.2024,1.19418
09.01.2024,1.19703
10.01.2024,1.1974
11.01.2024,1.19484
12.01.2024,1.1944
13.01.2024,1.1944
14.01.2024,1.1944
15.01.2024,1.18903
16.01.2024,1.1865
17.01.2024,1.17878
18.01.2024,1.1797
19.01.2024,1.18535
20.01.2024,1.18535
21.01.2024,1.18535
22.01.2024,1.18392
23.01.2024,1.18585
24.01.2024,1.18392
25.01.2024,1.1827
26.01.2024,1.18657
27.01.2024,1.18657
28.01.2024,1.18657
29.01.2024,1.19272
30.01.2024,1.18809
31.01.2024,1.18765
01.02.2024,1.17864
02.02.2024,1.18765
03.02.2024,1.18765
04.02.2024,1.18765
05.02.2024,1.18091
06.02.2024,1.18427
07.02.2024,1.18506
08.02.2024,1.18042
09.02.2024,1.18227
10.02.2024,1.18227
11.02.2024,1.18227
12.02.2024,1.18499
13.02.2024,1.18349
14.02.2024,1.18384
15.02.2024,1.18356
16.02.2024,1.18413
17.02.2024,1.18413
18.02.2024,1.18413
19.02.2024,1.18686
20.02.2024,1.18845
21.02.2024,1.18636
22.02.2024,1.18427
23.02.2024,1.18773
24.02.2024,1.18773
25.02.2024,1.18773
26.02.2024,1.18106
27.02.2024,1.1807
28.02.2024,1.17545
29.02.2024,1.17228
01.03.2024,1.17559
02.03.2024,1.17559
03.03.2024,1.17559
04.03.2024,1.17559
05.03.2024,1.17052
06.03.2024,1.17347
07.03.2024,1.18528
08.03.2024,1.18758
09.03.2024,1.18758
10.03.2024,1.18758
11.03.2024,1.18206
12.03.2024,1.18299
13.03.2024,1.18234
14.03.2024,1.18327
15.03.2024,1.1797
16.03.2024,1.1797
17.03.2024,1.1797
18.03.2024,1.17942
19.03.2024,1.1746
20.03.2024,1.17587
21.03.2024,1.18284
22.03.2024,1.17814
23.03.2024,1.17814
24.03.2024,1.17814
