Date,Exchange Rate
01.01.2024,1.33577
02.01.2024,1.34283
03.01.2024,1.342
04.01.2024,1.33933
05.01.2024,1.33961
06.01.2024,1.33961
07.01.2024,1.33961
08.01.2024,1.33495
09.01.2024,1.33842
10.01.2024,1.33513
11.01.2024,1.33258
12.01.2024,1.3365
13.01.2024,1.3365
14.01.2024,1.3365
15.01.2024,1.33095
16.01.2024,1.33404
17.01.2024,1.33041
18.01.2024,1.33222
19.01.2024,1.33449
20.01.2024,1.33449
21.01.2024,1.33449
22.01.2024,1.33778
23.01.2024,1.33522
24.01.2024,1.33331
25.01.2024,1.32923
26.01.2024,1.33897
27.01.2024,1.33897
28.01.2024,1.33897
29.01.2024,1.34495
30.01.2024,1.34292
31.01.2024,1.34347
01.02.2024,1.34477
02.02.2024,1.34366
03.02.2024,1.34366
04.02.2024,1.34366
05.02.2024,1.3482
06.02.2024,1.34643
07.02.2024,1.34876
08.02.2024,1.34838
09.02.2024,1.35015
10.02.2024,1.35015
11.02.2024,1.35015
12.02.2024,1.34848
13.02.2024,1.34783
14.02.2024,1.34801
15.02.2024,1.34449
16.02.2024,1.34718
17.02.2024,1.34718
18.02.2024,1.34718
19.02.2024,1.3468
20.02.2024,1.34311
21.02.2024,1.33796
22.02.2024,1.33796
23.02.2024,1.3408
24.02.2024,1.3408
25.02.2024,1.3408
26.02.2024,1.33285
27.02.2024,1.33504
28.02.2024,1.33149
29.02.2024,1.32878
01.03.2024,1.3324
02.03.2024,1.3324
03.03.2024,1.3324
04.03.2024,1.3324
05.03.2024,1.32626
06.03.2024,1.32419
07.03.2024,1.33004
08.03.2024,1.33041
09.03.2024,1.33041
10.03.2024,1.33041
11.03.2024,1.32572
12.03.2024,1.32698
13.03.2024,1.32545
14.03.2024,1.32824
15.03.2024,1.3277
16.03.2024,1.3277
17.03.2024,1.3277
18.03.2024,1.32644
19.03.2024,1.32446
20.03.2024,1.32725
21.03.2024,1.32725
22.03.2024,1.33158
23.03.2024,1.33158
24.03.2024,1.33158
25.03.2024,1.32851
26.03.2024,1.32887
27.03.2024,1.32941
28.03.2024,1.33304
29.03.2024,1.33304
30.03.2024,1.33304
31.03.2024,1.33304
01.04.2024,1.33304
02.04.2024,1.34172
03.04.2024,1.33723
04.04.2024,1.33486
05.04.2024,1.33032
06.04.2024,1.33032
07.04.2024,1.33032
08.04.2024,1.32914
09.04.2024,1.32608
10.04.2024,1.32797
11.04.2024,1.33158
12.04.2024,1.33568
13.04.2024,1.33568
14.04.2024,1.33568
15.04.2024,1.33549
16.04.2024,1.3334
17.04.2024,1.33131
18.04.2024,1.33167
19.04.2024,1.33358
20.04.2024,1.33358
21.04.2024,1.33358
22.04.2024,1.34034
23.04.2024,1.3375
24.04.2024,1.33705
25.04.2024,1.33422
26.04.2024,1.33668
27.04.2024,1.33668
28.04.2024,1.33668
29.04.2024,1.33641
30.04.2024,1.33304
01.05.2024,1.33304
02.05.2024,1.33249
03.05.2024,1.33249
04.05.2024,1.33249
05.05.2024,1.33249
06.05.2024,1.33249
07.05.2024,1.32779
08.05.2024,1.32294
09.05.2024,1.32797
10.05.2024,1.32626
11.05.2024,1.32626
12.05.2024,1.32626
13.05.2024,1.32536
14.05.2024,1.32572
15.05.2024,1.32482
16.05.2024,1.32061
17.05.2024,1.32294
18.05.2024,1.32294
19.05.2024,1.32294
20.05.2024,1.32169
21.05.2024,1.32177
22.05.2024,1.32061
23.05.2024,1.31866
24.05.2024,1.31866
25.05.2024,1.31866
26.05.2024,1.31866
27.05.2024,1.32035
28.05.2024,1.31972
29.05.2024,1.31812
30.05.2024,1.31901
31.05.2024,1.32115
01.06.2024,1.32115
02.06.2024,1.32115
03.06.2024,1.32294
04.06.2024,1.31617
05.06.2024,1.31555
06.06.2024,1.31449
07.06.2024,1.31246
08.06.2024,1.31246
09.06.2024,1.31246
10.06.2024,1.32142
11.06.2024,1.32321
12.06.2024,1.32195
13.06.2024,1.31946
14.06.2024,1.33013
15.06.2024,1.33013
16.06.2024,1.33013
17.06.2024,1.32815
18.06.2024,1.3277
19.06.2024,1.32716
20.06.2024,1.33086
21.06.2024,1.33668
22.06.2024,1.33668
23.06.2024,1.33668
24.06.2024,1.33213
25.06.2024,1.33504
26.06.2024,1.33705
27.06.2024,1.33531
28.06.2024,1.33322
29.06.2024,1.33322
30.06.2024,1.33322
01.07.2024,1.3295
02.07.2024,1.32806
03.07.2024,1.33023
04.07.2024,1.33004
05.07.2024,1.32725
06.07.2024,1.32725
07.07.2024,1.32725
08.07.2024,1.32401
09.07.2024,1.32581
10.07.2024,1.32527
11.07.2024,1.32186
12.07.2024,1.31848
13.07.2024,1.31848
14.07.2024,1.31848
15.07.2024,1.31449
16.07.2024,1.31167
17.07.2024,1.30834
18.07.2024,1.30799
19.07.2024,1.3093
20.07.2024,1.3093
21.07.2024,1.3093
22.07.2024,1.30641
23.07.2024,1.30877
24.07.2024,1.30799
25.07.2024,1.30215
26.07.2024,1.3031
27.07.2024,1.3031
28.07.2024,1.3031
29.07.2024,1.30598
30.07.2024,1.30423
31.07.2024,1.30589
01.08.2024,1.31158
02.08.2024,1.30085
03.08.2024,1.30085
04.08.2024,1.30085
05.08.2024,1.28775
06.08.2024,1.29551
07.08.2024,1.30302
08.08.2024,1.30206
09.08.2024,1.30328
10.08.2024,1.30328
11.08.2024,1.30328
12.08.2024,1.30406
13.08.2024,1.30267
14.08.2024,1.29397
15.08.2024,1.29611
16.08.2024,1.29568
17.08.2024,1.29568
18.08.2024,1.29568
19.08.2024,1.29542
20.08.2024,1.29654
21.08.2024,1.2938
22.08.2024,1.29268
23.08.2024,1.29474
24.08.2024,1.29474
25.08.2024,1.29474
26.08.2024,1.29731
27.08.2024,1.30033
28.08.2024,1.30545
29.08.2024,1.31026
30.08.2024,1.30904
31.08.2024,1.30904
01.09.2024,1.30904
02.09.2024,1.30982
03.09.2024,1.30816
04.09.2024,1.30563
05.09.2024,1.30423
06.09.2024,1.30423
07.09.2024,1.30423
08.09.2024,1.30423
09.09.2024,1.30571
10.09.2024,1.30624
11.09.2024,1.30415
12.09.2024,1.30702
13.09.2024,1.29861
14.09.2024,1.29861
15.09.2024,1.29861
16.09.2024,1.29448
17.09.2024,1.29234
18.09.2024,1.2938
19.09.2024,1.29439
20.09.2024,1.29115
21.09.2024,1.29115
22.09.2024,1.29115
23.09.2024,1.29115
24.09.2024,1.30102
25.09.2024,1.30007
26.09.2024,1.30172
27.09.2024,1.30076
28.09.2024,1.30076
29.09.2024,1.30076
30.09.2024,1.29243
01.10.2024,1.3051
02.10.2024,1.30982
03.10.2024,1.30869
04.10.2024,1.30807
05.10.2024,1.30807
06.10.2024,1.30807
07.10.2024,1.31141
08.10.2024,1.30554
09.10.2024,1.30519
10.10.2024,1.3012
11.10.2024,1.29843
12.10.2024,1.29843
13.10.2024,1.29843
14.10.2024,1.29981
15.10.2024,1.29843
16.10.2024,1.30276
17.10.2024,1.30606
18.10.2024,1.30737
19.10.2024,1.30737
20.10.2024,1.30737
21.10.2024,1.30406
22.10.2024,1.30702
23.10.2024,1.31264
24.10.2024,1.3107
25.10.2024,1.30484
26.10.2024,1.30484
27.10.2024,1.30484
28.10.2024,1.30128
29.10.2024,1.30554
30.10.2024,1.29766
31.10.2024,1.29234
01.11.2024,1.29149
02.11.2024,1.29149
03.11.2024,1.29149
04.11.2024,1.29055
05.11.2024,1.29285
06.11.2024,1.31325
07.11.2024,1.30737
08.11.2024,1.30537
09.11.2024,1.30537
10.11.2024,1.30537
11.11.2024,1.31723
12.11.2024,1.3216
13.11.2024,1.31794
14.11.2024,1.32518
15.11.2024,1.31608
16.11.2024,1.31608
17.11.2024,1.31608
18.11.2024,1.31502
19.11.2024,1.31857
20.11.2024,1.32446
21.11.2024,1.3305
22.11.2024,1.3432
23.11.2024,1.3432
24.11.2024,1.3432
25.11.2024,1.33522
26.11.2024,1.31857
27.11.2024,1.32088
28.11.2024,1.32419
29.11.2024,1.32186
30.11.2024,1.32186
01.12.2024,1.32186
02.12.2024,1.32617
03.12.2024,1.32572
04.12.2024,1.32554
05.12.2024,1.3207
06.12.2024,1.31423
07.12.2024,1.31423
08.12.2024,1.31423
09.12.2024,1.31097
10.12.2024,1.31193
11.12.2024,1.3122
12.12.2024,1.31573
13.12.2024,1.3079
14.12.2024,1.3079
15.12.2024,1.3079
16.12.2024,1.30746
17.12.2024,1.30432
18.12.2024,1.30198
19.12.2024,1.31
20.12.2024,1.3086
21.12.2024,1.3086
22.12.2024,1.3086
23.12.2024,1.3058
24.12.2024,1.3058
25.12.2024,1.3058
26.12.2024,1.3058
27.12.2024,1.30371
28.12.2024,1.30371
29.12.2024,1.30371
30.12.2024,1.30085
31.12.2024,1.30842
