Name,ISIN,Country_tax,Country_registered
Alibaba Group Holding Limited,US01609W1027,China,KY
Taiwan Semiconductor Mfg. Co.,US8740391003,Taiwan,Taiwan
ASML Holding N.V.,USN070592100,Netherlands,Netherlands
Toyota Motor Corporation,US8923313071,Japan,Japan
BP p.l.c.,US0556221044,United Kingdom,GB
Royal Dutch Shell plc (Class A),US7802593050,United Kingdom,GB
Novartis AG,US66987V1098,Switzerland,CH
AstraZeneca PLC,US0463531089,United Kingdom,GB
Infosys Limited,US4567881085,India,India
"Samsung Electronics Co., Ltd.",US7960502018,South Korea,South Korea
Tencent Holdings Limited,US88032Q1094,China,KY
Nestlé S.A.,US6410694060,Switzerland,CH
TotalEnergies SE,US89151E1091,France,France
Unilever PLC,US9047677045,United Kingdom,GB
