Date,Exchange Rate
01.01.2006,1.21412
02.01.2006,1.21412
03.01.2006,1.21142
04.01.2006,1.20411
05.01.2006,1.20686
06.01.2006,1.20924
07.01.2006,1.20924
08.01.2006,1.20924
09.01.2006,1.21654
10.01.2006,1.21897
11.01.2006,1.21775
12.01.2006,1.2179
13.01.2006,1.21935
14.01.2006,1.21935
15.01.2006,1.21935
16.01.2006,1.21737
17.01.2006,1.21897
18.01.2006,1.20872
19.01.2006,1.20604
20.01.2006,1.21262
21.01.2006,1.21262
22.01.2006,1.21262
23.01.2006,1.20085
24.01.2006,1.19528
25.01.2006,1.20189
26.01.2006,1.20559
27.01.2006,1.2082
28.01.2006,1.2082
29.01.2006,1.2082
30.01.2006,1.21344
31.01.2006,1.21707
01.02.2006,1.21919
02.02.2006,1.22018
03.02.2006,1.21957
04.02.2006,1.21957
05.02.2006,1.21957
06.02.2006,1.21851
07.02.2006,1.21307
08.02.2006,1.20768
09.02.2006,1.20641
10.02.2006,1.21179
11.02.2006,1.21179
12.02.2006,1.21179
13.02.2006,1.21292
14.02.2006,1.21187
15.02.2006,1.21919
16.02.2006,1.21556
17.02.2006,1.21337
18.02.2006,1.21337
19.02.2006,1.21337
20.02.2006,1.2142
21.02.2006,1.2136
22.02.2006,1.21014
23.02.2006,1.21329
24.02.2006,1.21768
25.02.2006,1.21768
26.02.2006,1.21768
27.02.2006,1.21692
28.02.2006,1.21851
01.03.2006,1.21881
02.03.2006,1.22438
03.03.2006,1.22438
04.03.2006,1.22438
05.03.2006,1.22438
06.03.2006,1.20962
07.03.2006,1.20879
08.03.2006,1.20529
09.03.2006,1.20775
10.03.2006,1.20604
11.03.2006,1.20604
12.03.2006,1.20604
13.03.2006,1.20107
14.03.2006,1.19982
15.03.2006,1.20159
16.03.2006,1.19338
17.03.2006,1.17333
18.03.2006,1.17333
19.03.2006,1.17333
20.03.2006,1.15586
21.03.2006,1.15709
22.03.2006,1.16011
23.03.2006,1.16536
24.03.2006,1.15771
25.03.2006,1.15771
26.03.2006,1.15771
27.03.2006,1.15056
28.03.2006,1.15103
29.03.2006,1.14644
30.03.2006,1.15307
31.03.2006,1.15069
01.04.2006,1.15069
02.04.2006,1.15069
03.04.2006,1.16225
04.04.2006,1.15381
05.04.2006,1.15586
06.04.2006,1.16425
07.04.2006,1.17446
08.04.2006,1.17446
09.04.2006,1.17446
10.04.2006,1.17708
11.04.2006,1.18106
12.04.2006,1.17949
13.04.2006,1.1758
14.04.2006,1.1758
15.04.2006,1.1758
16.04.2006,1.1758
17.04.2006,1.1758
18.04.2006,1.17821
19.04.2006,1.17849
20.04.2006,1.17864
21.04.2006,1.17658
22.04.2006,1.17658
23.04.2006,1.17658
24.04.2006,1.17658
25.04.2006,1.17566
26.04.2006,1.17658
27.04.2006,1.18206
28.04.2006,1.17828
29.04.2006,1.17828
30.04.2006,1.17828
01.05.2006,1.17828
02.05.2006,1.1775
03.05.2006,1.19134
04.05.2006,1.19309
05.05.2006,1.18665
06.05.2006,1.18665
07.05.2006,1.18665
08.05.2006,1.18427
09.05.2006,1.18427
10.05.2006,1.18657
11.05.2006,1.1865
12.05.2006,1.17757
13.05.2006,1.17757
14.05.2006,1.17757
15.05.2006,1.16481
16.05.2006,1.16266
17.05.2006,1.17045
18.05.2006,1.16843
19.05.2006,1.16509
20.05.2006,1.16509
21.05.2006,1.16509
22.05.2006,1.1511
23.05.2006,1.15076
24.05.2006,1.15076
25.05.2006,1.1599
26.05.2006,1.15839
27.05.2006,1.15839
28.05.2006,1.15839
29.05.2006,1.16335
30.05.2006,1.16087
31.05.2006,1.15368
01.06.2006,1.14503
02.06.2006,1.14036
03.06.2006,1.14036
04.06.2006,1.14036
05.06.2006,1.13355
06.06.2006,1.13362
07.06.2006,1.13316
08.06.2006,1.14376
09.06.2006,1.15716
10.06.2006,1.15716
11.06.2006,1.15716
12.06.2006,1.16032
13.06.2006,1.15252
14.06.2006,1.15022
15.06.2006,1.14523
16.06.2006,1.14685
17.06.2006,1.14685
18.06.2006,1.14685
19.06.2006,1.14644
20.06.2006,1.14934
21.06.2006,1.13837
22.06.2006,1.14296
23.06.2006,1.14403
24.06.2006,1.14403
25.06.2006,1.14403
26.06.2006,1.13996
27.06.2006,1.1391
28.06.2006,1.13526
29.06.2006,1.13843
30.06.2006,1.14262
01.07.2006,1.14262
02.07.2006,1.14262
03.07.2006,1.13619
04.07.2006,1.14043
05.07.2006,1.13896
06.07.2006,1.13996
07.07.2006,1.14409
08.07.2006,1.14409
09.07.2006,1.14409
10.07.2006,1.14785
11.07.2006,1.15422
12.07.2006,1.15867
13.07.2006,1.16232
14.07.2006,1.16377
15.07.2006,1.16377
16.07.2006,1.16377
17.07.2006,1.16745
18.07.2006,1.17228
19.07.2006,1.16655
20.07.2006,1.16218
21.07.2006,1.1619
22.07.2006,1.1619
23.07.2006,1.1619
24.07.2006,1.16606
25.07.2006,1.16927
26.07.2006,1.17828
27.07.2006,1.17319
28.07.2006,1.17453
29.07.2006,1.17453
30.07.2006,1.17453
31.07.2006,1.17312
01.08.2006,1.16738
02.08.2006,1.17038
03.08.2006,1.16613
04.08.2006,1.16301
05.08.2006,1.16301
06.08.2006,1.16301
07.08.2006,1.15984
08.08.2006,1.15771
09.08.2006,1.16101
10.08.2006,1.17074
11.08.2006,1.17552
12.08.2006,1.17552
13.08.2006,1.17552
14.08.2006,1.17172
15.08.2006,1.17095
16.08.2006,1.16885
17.08.2006,1.16363
18.08.2006,1.15874
19.08.2006,1.15874
20.08.2006,1.15874
21.08.2006,1.15593
22.08.2006,1.16391
23.08.2006,1.16871
24.08.2006,1.1646
25.08.2006,1.16439
26.08.2006,1.16439
27.08.2006,1.16439
28.08.2006,1.15764
29.08.2006,1.16606
30.08.2006,1.16488
31.08.2006,1.16349
01.09.2006,1.16745
02.09.2006,1.16745
03.09.2006,1.16745
04.09.2006,1.17256
05.09.2006,1.17488
06.09.2006,1.17488
07.09.2006,1.1692
08.09.2006,1.16578
09.09.2006,1.16578
10.09.2006,1.16578
11.09.2006,1.15922
12.09.2006,1.15935
13.09.2006,1.15832
14.09.2006,1.16149
15.09.2006,1.16052
16.09.2006,1.16052
17.09.2006,1.16052
18.09.2006,1.16273
19.09.2006,1.16405
20.09.2006,1.16114
21.09.2006,1.16032
22.09.2006,1.16032
23.09.2006,1.16032
24.09.2006,1.16032
25.09.2006,1.15137
26.09.2006,1.16011
27.09.2006,1.15627
28.09.2006,1.15327
29.09.2006,1.15103
30.09.2006,1.15103
01.10.2006,1.15103
02.10.2006,1.14765
03.10.2006,1.14698
04.10.2006,1.14718
05.10.2006,1.1492
06.10.2006,1.15259
07.10.2006,1.15259
08.10.2006,1.15259
09.10.2006,1.15545
10.10.2006,1.16052
11.10.2006,1.16211
12.10.2006,1.16954
13.10.2006,1.17193
14.10.2006,1.17193
15.10.2006,1.17193
16.10.2006,1.17658
17.10.2006,1.17708
18.10.2006,1.17693
19.10.2006,1.178
20.10.2006,1.17771
21.10.2006,1.17771
22.10.2006,1.17771
23.10.2006,1.18141
24.10.2006,1.18034
25.10.2006,1.18099
26.10.2006,1.17821
27.10.2006,1.18099
28.10.2006,1.18099
29.10.2006,1.18099
30.10.2006,1.18234
31.10.2006,1.18471
01.11.2006,1.18679
02.11.2006,1.18456
03.11.2006,1.18342
04.11.2006,1.18342
05.11.2006,1.18342
06.11.2006,1.18485
07.11.2006,1.18535
08.11.2006,1.17814
09.11.2006,1.17193
10.11.2006,1.16731
11.11.2006,1.16731
12.11.2006,1.16731
13.11.2006,1.16446
14.11.2006,1.16661
15.11.2006,1.16885
16.11.2006,1.17256
17.11.2006,1.17074
18.11.2006,1.17074
19.11.2006,1.17074
20.11.2006,1.17207
21.11.2006,1.17495
22.11.2006,1.17333
23.11.2006,1.16941
24.11.2006,1.16301
25.11.2006,1.16301
26.11.2006,1.16301
