Date,Exchange Rate
01.01.2019,1.25334
02.01.2019,1.25801
03.01.2019,1.27068
04.01.2019,1.27599
05.01.2019,1.27599
06.01.2019,1.27599
07.01.2019,1.27991
08.01.2019,1.28605
09.01.2019,1.2891
10.01.2019,1.28243
11.01.2019,1.28276
12.01.2019,1.28276
13.01.2019,1.28276
14.01.2019,1.28453
15.01.2019,1.29064
16.01.2019,1.29517
17.01.2019,1.29072
18.01.2019,1.29234
19.01.2019,1.29234
20.01.2019,1.29234
21.01.2019,1.2938
22.01.2019,1.29285
23.01.2019,1.29251
24.01.2019,1.29013
25.01.2019,1.29465
26.01.2019,1.29465
27.01.2019,1.29465
28.01.2019,1.29397
29.01.2019,1.29166
30.01.2019,1.29431
31.01.2019,1.29448
01.02.2019,1.2974
02.02.2019,1.2974
03.02.2019,1.2974
04.02.2019,1.30293
05.02.2019,1.30423
06.02.2019,1.30215
07.02.2019,1.29955
08.02.2019,1.29542
09.02.2019,1.29542
10.02.2019,1.29542
11.02.2019,1.30345
12.02.2019,1.30659
13.02.2019,1.30633
14.02.2019,1.30834
15.02.2019,1.30746
16.02.2019,1.30746
17.02.2019,1.30746
18.02.2019,1.30458
19.02.2019,1.30729
20.02.2019,1.30772
21.02.2019,1.30816
22.02.2019,1.30598
23.02.2019,1.30598
24.02.2019,1.30598
25.02.2019,1.31053
26.02.2019,1.3018
27.02.2019,1.3072
28.02.2019,1.30025
01.03.2019,1.30641
02.03.2019,1.30641
03.03.2019,1.30641
04.03.2019,1.30641
05.03.2019,1.29388
06.03.2019,1.29285
07.03.2019,1.2926
08.03.2019,1.29534
09.03.2019,1.29534
10.03.2019,1.29534
11.03.2019,1.29585
12.03.2019,1.29431
13.03.2019,1.29637
14.03.2019,1.29749
15.03.2019,1.29371
16.03.2019,1.29371
17.03.2019,1.29371
18.03.2019,1.29234
19.03.2019,1.29869
20.03.2019,1.29311
21.03.2019,1.28766
22.03.2019,1.29055
23.03.2019,1.29055
24.03.2019,1.29055
25.03.2019,1.28639
26.03.2019,1.29251
27.03.2019,1.29517
28.03.2019,1.29817
29.03.2019,1.30389
30.03.2019,1.30389
31.03.2019,1.30389
01.04.2019,1.30337
02.04.2019,1.31097
03.04.2019,1.30702
04.04.2019,1.30502
05.04.2019,1.30128
06.04.2019,1.30128
07.04.2019,1.30128
08.04.2019,1.30025
09.04.2019,1.30528
10.04.2019,1.30111
11.04.2019,1.29809
12.04.2019,1.2968
13.04.2019,1.2968
14.04.2019,1.2968
15.04.2019,1.29869
16.04.2019,1.29439
17.04.2019,1.29783
18.04.2019,1.29826
19.04.2019,1.29826
20.04.2019,1.29826
21.04.2019,1.29826
22.04.2019,1.29826
23.04.2019,1.29895
24.04.2019,1.29714
25.04.2019,1.30189
26.04.2019,1.30189
27.04.2019,1.30189
28.04.2019,1.30189
29.04.2019,1.30189
30.04.2019,1.2974
01.05.2019,1.2974
02.05.2019,1.29835
03.05.2019,1.30224
04.05.2019,1.30224
05.05.2019,1.30224
06.05.2019,1.30224
07.05.2019,1.29826
08.05.2019,1.29749
09.05.2019,1.29585
10.05.2019,1.29251
11.05.2019,1.29251
12.05.2019,1.29251
13.05.2019,1.2938
14.05.2019,1.2938
15.05.2019,1.2974
16.05.2019,1.30051
17.05.2019,1.29749
18.05.2019,1.29749
19.05.2019,1.29749
20.05.2019,1.30389
21.05.2019,1.30685
22.05.2019,1.30807
23.05.2019,1.30389
24.05.2019,1.30389
25.05.2019,1.30389
26.05.2019,1.30389
27.05.2019,1.29861
28.05.2019,1.29774
29.05.2019,1.29826
30.05.2019,1.30137
31.05.2019,1.29397
01.06.2019,1.29397
02.06.2019,1.29397
03.06.2019,1.29542
04.06.2019,1.29431
05.06.2019,1.29783
06.06.2019,1.29559
07.06.2019,1.29861
08.06.2019,1.29861
09.06.2019,1.29861
10.06.2019,1.30354
11.06.2019,1.30371
12.06.2019,1.29878
13.06.2019,1.30206
14.06.2019,1.30232
15.06.2019,1.30232
16.06.2019,1.30232
17.06.2019,1.29792
18.06.2019,1.3025
19.06.2019,1.30476
20.06.2019,1.31387
21.06.2019,1.31018
22.06.2019,1.31018
23.06.2019,1.31018
24.06.2019,1.30128
25.06.2019,1.3038
26.06.2019,1.30851
27.06.2019,1.31018
28.06.2019,1.31325
29.06.2019,1.31325
30.06.2019,1.31325
01.07.2019,1.31564
02.07.2019,1.31981
