Date,Exchange Rate
01.01.2010,1.31458
02.01.2010,1.31458
03.01.2010,1.31458
04.01.2010,1.31502
05.01.2010,1.31653
06.01.2010,1.31946
07.01.2010,1.31866
08.01.2010,1.32017
09.01.2010,1.32017
10.01.2010,1.32017
11.01.2010,1.32554
12.01.2010,1.32662
13.01.2010,1.32258
14.01.2010,1.32115
15.01.2010,1.32545
16.01.2010,1.32545
17.01.2010,1.32545
18.01.2010,1.32644
19.01.2010,1.32509
20.01.2010,1.32482
21.01.2010,1.32842
22.01.2010,1.32977
23.01.2010,1.32977
24.01.2010,1.32977
25.01.2010,1.32797
26.01.2010,1.32842
27.01.2010,1.3286
28.01.2010,1.32824
29.01.2010,1.33394
30.01.2010,1.33394
31.01.2010,1.33394
01.02.2010,1.32824
02.02.2010,1.32752
03.02.2010,1.32707
04.02.2010,1.3314
05.02.2010,1.33213
06.02.2010,1.33213
07.02.2010,1.33213
08.02.2010,1.33422
09.02.2010,1.33304
10.02.2010,1.33431
11.02.2010,1.33385
12.02.2010,1.33504
13.02.2010,1.33504
14.02.2010,1.33504
15.02.2010,1.33404
16.02.2010,1.33249
17.02.2010,1.3324
18.02.2010,1.33495
19.02.2010,1.33431
20.02.2010,1.33431
21.02.2010,1.33431
22.02.2010,1.33513
23.02.2010,1.33349
24.02.2010,1.33586
25.02.2010,1.33659
26.02.2010,1.33613
27.02.2010,1.33613
28.02.2010,1.33613
01.03.2010,1.33558
02.03.2010,1.33705
03.03.2010,1.33705
04.03.2010,1.33668
05.03.2010,1.33668
06.03.2010,1.33668
07.03.2010,1.33668
08.03.2010,1.33705
09.03.2010,1.33723
10.03.2010,1.33796
11.03.2010,1.33759
12.03.2010,1.33988
13.03.2010,1.33988
14.03.2010,1.33988
15.03.2010,1.34634
16.03.2010,1.34736
17.03.2010,1.34783
18.03.2010,1.35127
19.03.2010,1.36067
20.03.2010,1.36067
21.03.2010,1.36067
22.03.2010,1.36314
23.03.2010,1.36571
24.03.2010,1.36944
25.03.2010,1.36963
26.03.2010,1.36905
27.03.2010,1.36905
28.03.2010,1.36905
29.03.2010,1.36495
30.03.2010,1.36618
31.03.2010,1.37001
01.04.2010,1.37939
02.04.2010,1.37939
03.04.2010,1.37939
04.04.2010,1.37939
05.04.2010,1.37939
06.04.2010,1.36533
07.04.2010,1.36571
08.04.2010,1.36542
09.04.2010,1.36162
10.04.2010,1.36162
11.04.2010,1.36162
12.04.2010,1.35888
13.04.2010,1.36105
14.04.2010,1.36124
15.04.2010,1.36361
16.04.2010,1.36409
17.04.2010,1.36409
18.04.2010,1.36409
19.04.2010,1.36342
20.04.2010,1.36447
21.04.2010,1.36495
22.04.2010,1.36533
23.04.2010,1.36247
24.04.2010,1.36247
25.04.2010,1.36247
26.04.2010,1.3638
27.04.2010,1.36266
28.04.2010,1.3638
29.04.2010,1.36314
30.04.2010,1.3638
01.05.2010,1.3638
02.05.2010,1.3638
03.05.2010,1.36504
04.05.2010,1.36533
05.05.2010,1.36533
06.05.2010,1.36533
07.05.2010,1.36533
08.05.2010,1.36533
09.05.2010,1.36533
10.05.2010,1.3727
11.05.2010,1.38761
12.05.2010,1.39086
13.05.2010,1.39592
14.05.2010,1.39503
15.05.2010,1.39503
16.05.2010,1.39503
17.05.2010,1.39563
18.05.2010,1.39423
19.05.2010,1.39274
20.05.2010,1.37939
21.05.2010,1.35746
22.05.2010,1.35746
23.05.2010,1.35746
24.05.2010,1.35746
25.05.2010,1.37309
26.05.2010,1.37676
27.05.2010,1.38085
28.05.2010,1.37174
29.05.2010,1.37174
30.05.2010,1.37174
31.05.2010,1.37444
01.06.2010,1.379
02.06.2010,1.38241
03.06.2010,1.38231
04.06.2010,1.40193
05.06.2010,1.40193
06.06.2010,1.40193
07.06.2010,1.40596
08.06.2010,1.41799
09.06.2010,1.42118
10.06.2010,1.4185
11.06.2010,1.40778
12.06.2010,1.40778
13.06.2010,1.40778
14.06.2010,1.40606
15.06.2010,1.39722
16.06.2010,1.40829
17.06.2010,1.41953
18.06.2010,1.42294
19.06.2010,1.42294
20.06.2010,1.42294
21.06.2010,1.42366
22.06.2010,1.43579
23.06.2010,1.43695
24.06.2010,1.44288
25.06.2010,1.44523
26.06.2010,1.44523
27.06.2010,1.44523
28.06.2010,1.46099
29.06.2010,1.47521
30.06.2010,1.47243
01.07.2010,1.48416
02.07.2010,1.46219
03.07.2010,1.46219
04.07.2010,1.46219
05.07.2010,1.46779
06.07.2010,1.46252
07.07.2010,1.46922
08.07.2010,1.46823
09.07.2010,1.46713
10.07.2010,1.46713
11.07.2010,1.46713
12.07.2010,1.46515
13.07.2010,1.46647
14.07.2010,1.45653
15.07.2010,1.4574
16.07.2010,1.44416
17.07.2010,1.44416
18.07.2010,1.44416
19.07.2010,1.43389
20.07.2010,1.4448
21.07.2010,1.45523
22.07.2010,1.45762
23.07.2010,1.45005
24.07.2010,1.45005
25.07.2010,1.45005
26.07.2010,1.44086
27.07.2010,1.41984
28.07.2010,1.42139
29.07.2010,1.43179
30.07.2010,1.44438
31.07.2010,1.44438
01.08.2010,1.44438
02.08.2010,1.43179
03.08.2010,1.42636
04.08.2010,1.42449
05.08.2010,1.41522
06.08.2010,1.41419
07.08.2010,1.41419
08.08.2010,1.41419
09.08.2010,1.42025
10.08.2010,1.40758
11.08.2010,1.42813
12.08.2010,1.44962
13.08.2010,1.45005
14.08.2010,1.45005
15.08.2010,1.45005
16.08.2010,1.46504
17.08.2010,1.45838
18.08.2010,1.45707
19.08.2010,1.46713
20.08.2010,1.48721
21.08.2010,1.48721
22.08.2010,1.48721
23.08.2010,1.48619
24.08.2010,1.48664
25.08.2010,1.50518
26.08.2010,1.50137
27.08.2010,1.50402
28.08.2010,1.50402
29.08.2010,1.50402
30.08.2010,1.49815
31.08.2010,1.51204
01.09.2010,1.50831
02.09.2010,1.50994
03.09.2010,1.49952
04.09.2010,1.49952
05.09.2010,1.49952
06.09.2010,1.49952
07.09.2010,1.51579
08.09.2010,1.52359
09.09.2010,1.52098
10.09.2010,1.50217
11.09.2010,1.50217
12.09.2010,1.50217
13.09.2010,1.50553
14.09.2010,1.51486
15.09.2010,1.50229
16.09.2010,1.47889
17.09.2010,1.48057
18.09.2010,1.48057
19.09.2010,1.48057
20.09.2010,1.48619
21.09.2010,1.48664
22.09.2010,1.48664
23.09.2010,1.48868
24.09.2010,1.48585
25.09.2010,1.48585
26.09.2010,1.48585
27.09.2010,1.47532
28.09.2010,1.47365
29.09.2010,1.4711
30.09.2010,1.47199
01.10.2010,1.45707
02.10.2010,1.45707
03.10.2010,1.45707
04.10.2010,1.46757
05.10.2010,1.46526
06.10.2010,1.46384
07.10.2010,1.45794
08.10.2010,1.4574
09.10.2010,1.4574
10.10.2010,1.4574
11.10.2010,1.45827
12.10.2010,1.47077
13.10.2010,1.46482
14.10.2010,1.4611
15.10.2010,1.45707
16.10.2010,1.45707
17.10.2010,1.45707
18.10.2010,1.46405
19.10.2010,1.45903
20.10.2010,1.46449
21.10.2010,1.44951
22.10.2010,1.44523
23.10.2010,1.44523
24.10.2010,1.44523
25.10.2010,1.43621
26.10.2010,1.44257
27.10.2010,1.434
28.10.2010,1.43096
29.10.2010,1.42678
30.10.2010,1.42678
31.10.2010,1.42678
01.11.2010,1.4218
02.11.2010,1.42077
03.11.2010,1.42128
04.11.2010,1.41912
05.11.2010,1.44384
