Date,Exchange Rate
01.01.2002,3.21418
02.01.2002,3.12333
03.01.2002,3.12733
04.01.2002,3.14594
05.01.2002,3.14594
06.01.2002,3.14594
07.01.2002,3.15762
08.01.2002,3.16375
09.01.2002,3.16094
10.01.2002,3.16888
11.01.2002,3.16529
12.01.2002,3.16529
13.01.2002,3.16529
14.01.2002,3.1766
15.01.2002,3.17247
16.01.2002,3.18799
17.01.2002,3.18332
18.01.2002,3.18487
19.01.2002,3.18487
20.01.2002,3.18487
21.01.2002,3.17711
22.01.2002,3.16273
23.01.2002,3.15304
24.01.2002,3.17042
25.01.2002,3.19267
26.01.2002,3.19267
27.01.2002,3.19267
28.01.2002,3.20838
29.01.2002,3.20313
30.01.2002,3.20103
31.01.2002,3.20051
01.02.2002,3.20628
02.02.2002,3.20628
03.02.2002,3.20628
04.02.2002,3.20786
05.02.2002,3.19841
06.02.2002,3.19476
07.02.2002,3.18073
08.02.2002,3.16324
09.02.2002,3.16324
10.02.2002,3.16324
11.02.2002,3.16682
12.02.2002,3.18747
13.02.2002,3.20523
14.02.2002,3.20996
15.02.2002,3.20891
16.02.2002,3.20891
17.02.2002,3.20891
18.02.2002,3.20733
19.02.2002,3.20575
20.02.2002,3.19894
21.02.2002,3.20365
22.02.2002,3.19737
23.02.2002,3.19737
24.02.2002,3.19737
25.02.2002,3.19894
26.02.2002,3.21049
27.02.2002,3.20628
28.02.2002,3.20025
01.03.2002,3.2047
02.03.2002,3.2047
03.03.2002,3.2047
04.03.2002,3.20786
05.03.2002,3.20156
06.03.2002,3.19319
07.03.2002,3.17247
08.03.2002,3.17402
09.03.2002,3.17402
10.03.2002,3.17402
11.03.2002,3.17866
12.03.2002,3.16631
13.03.2002,3.15864
14.03.2002,3.14999
15.03.2002,3.14796
16.03.2002,3.14796
17.03.2002,3.14796
18.03.2002,3.16785
19.03.2002,3.16426
20.03.2002,3.1566
21.03.2002,3.16477
22.03.2002,3.17042
23.03.2002,3.17042
24.03.2002,3.17042
25.03.2002,3.18799
26.03.2002,3.18643
27.03.2002,3.18591
28.03.2002,3.19059
29.03.2002,3.19059
30.03.2002,3.19059
31.03.2002,3.19059
01.04.2002,3.19059
02.04.2002,3.20156
03.04.2002,3.19528
04.04.2002,3.18591
05.04.2002,3.19319
06.04.2002,3.19319
07.04.2002,3.19319
08.04.2002,3.19685
09.04.2002,3.19423
10.04.2002,3.19423
11.04.2002,3.19215
12.04.2002,3.19319
13.04.2002,3.19319
14.04.2002,3.19319
15.04.2002,3.19371
16.04.2002,3.19267
17.04.2002,3.18125
18.04.2002,3.17814
19.04.2002,3.18332
20.04.2002,3.18332
21.04.2002,3.18332
22.04.2002,3.18643
23.04.2002,3.18955
24.04.2002,3.18021
25.04.2002,3.1658
26.04.2002,3.16631
27.04.2002,3.16631
28.04.2002,3.16631
29.04.2002,3.1617
30.04.2002,3.16068
01.05.2002,3.16068
02.05.2002,3.16068
03.05.2002,3.16068
04.05.2002,3.16068
05.05.2002,3.16068
06.05.2002,3.16068
07.05.2002,3.13937
08.05.2002,3.14089
09.05.2002,3.14392
10.05.2002,3.13485
11.05.2002,3.13485
12.05.2002,3.13485
13.05.2002,3.13234
14.05.2002,3.13434
15.05.2002,3.14038
16.05.2002,3.12783
17.05.2002,3.11487
18.05.2002,3.11487
19.05.2002,3.11487
20.05.2002,3.10351
21.05.2002,3.09418
22.05.2002,3.08491
23.05.2002,3.0932
24.05.2002,3.0932
25.05.2002,3.0932
26.05.2002,3.0932
27.05.2002,3.09565
28.05.2002,3.08296
29.05.2002,3.06893
30.05.2002,3.05837
31.05.2002,3.0536
01.06.2002,3.0536
02.06.2002,3.0536
03.06.2002,3.05503
04.06.2002,3.03229
05.06.2002,3.04173
06.06.2002,3.03795
07.06.2002,3.02526
08.06.2002,3.02526
09.06.2002,3.02526
10.06.2002,3.02152
11.06.2002,3.04173
12.06.2002,3.04125
13.06.2002,3.05408
14.06.2002,3.04646
15.06.2002,3.04646
16.06.2002,3.04646
17.06.2002,3.06268
18.06.2002,3.05933
19.06.2002,3.05217
20.06.2002,3.04552
21.06.2002,3.03512
22.06.2002,3.03512
23.06.2002,3.03512
24.06.2002,3.00851
25.06.2002,3.02573
26.06.2002,3.01314
27.06.2002,3.0276
28.06.2002,3.0099
29.06.2002,3.0099
30.06.2002,3.0099
01.07.2002,3.02339
02.07.2002,3.04078
03.07.2002,3.04599
04.07.2002,3.04931
05.07.2002,3.05027
06.07.2002,3.05027
07.07.2002,3.05027
08.07.2002,3.04552
09.07.2002,3.04409
10.07.2002,3.0579
11.07.2002,3.06604
12.07.2002,3.0646
13.07.2002,3.0646
14.07.2002,3.0646
15.07.2002,3.04979
16.07.2002,3.03795
17.07.2002,3.04078
18.07.2002,3.04267
19.07.2002,3.04173
20.07.2002,3.04173
21.07.2002,3.04173
22.07.2002,3.05074
23.07.2002,3.09027
24.07.2002,3.08929
25.07.2002,3.0752
26.07.2002,3.08637
27.07.2002,3.08637
28.07.2002,3.08637
29.07.2002,3.1119
30.07.2002,3.10745
31.07.2002,3.12383
01.08.2002,3.11736
02.08.2002,3.10696
03.08.2002,3.10696
04.08.2002,3.10696
05.08.2002,3.10597
06.08.2002,3.11487
07.08.2002,3.09908
08.08.2002,3.08734
09.08.2002,3.07762
10.08.2002,3.07762
11.08.2002,3.07762
12.08.2002,3.06268
13.08.2002,3.06029
14.08.2002,3.05885
15.08.2002,3.06508
16.08.2002,3.05455
17.08.2002,3.05455
18.08.2002,3.05455
19.08.2002,3.06556
20.08.2002,3.04836
21.08.2002,3.05312
22.08.2002,3.05837
23.08.2002,3.06364
24.08.2002,3.06364
25.08.2002,3.06364
26.08.2002,3.0646
27.08.2002,3.05598
28.08.2002,3.05885
