Date,Exchange Rate
01.01.2022,0.015001
02.01.2022,0.015001
03.01.2022,0.015001
04.01.2022,0.0149107
05.01.2022,0.0149266
06.01.2022,0.0149243
07.01.2022,0.0149414
08.01.2022,0.0149414
09.01.2022,0.0149414
10.01.2022,0.0149929
11.01.2022,0.0149357
12.01.2022,0.0149084
13.01.2022,0.0149323
14.01.2022,0.0150252
15.01.2022,0.0150252
16.01.2022,0.0150252
17.01.2022,0.0149711
18.01.2022,0.0149998
19.01.2022,0.0150611
20.01.2022,0.0150994
21.01.2022,0.015145
22.01.2022,0.015145
23.01.2022,0.015145
24.01.2022,0.0152063
25.01.2022,0.0152217
26.01.2022,0.0151779
27.01.2022,0.0151921
28.01.2022,0.0151992
29.01.2022,0.0151992
30.01.2022,0.0151992
31.01.2022,0.0151862
01.02.2022,0.0151474
02.02.2022,0.0151181
03.02.2022,0.0150878
04.02.2022,0.0148484
05.02.2022,0.0148484
06.02.2022,0.0148484
07.02.2022,0.0148631
08.02.2022,0.0148529
09.02.2022,0.0148124
10.02.2022,0.0147699
11.02.2022,0.01479
12.02.2022,0.01479
13.02.2022,0.01479
14.02.2022,0.0149757
15.02.2022,0.0149095
16.02.2022,0.0148664
17.02.2022,0.0149483
18.02.2022,0.0149769
19.02.2022,0.0149769
20.02.2022,0.0149769
21.02.2022,0.0150217
22.02.2022,0.0149826
23.02.2022,0.014978
24.02.2022,0.0152466
25.02.2022,0.0150866
26.02.2022,0.0150866
27.02.2022,0.0150866
28.02.2022,0.0151251
01.03.2022,0.015262
02.03.2022,0.0152704
03.03.2022,0.0152704
04.03.2022,0.0155015
05.03.2022,0.0155015
06.03.2022,0.0155015
07.03.2022,0.0155781
08.03.2022,0.0155188
09.03.2022,0.0153627
10.03.2022,0.0152157
11.03.2022,0.0152252
12.03.2022,0.0152252
13.03.2022,0.0152252
14.03.2022,0.0151263
15.03.2022,0.0150831
16.03.2022,0.0150391
17.03.2022,0.0148993
18.03.2022,0.0148846
19.03.2022,0.0148846
20.03.2022,0.0148846
21.03.2022,0.0148653
22.03.2022,0.0147099
23.03.2022,0.0147443
24.03.2022,0.0146274
25.03.2022,0.0145881
26.03.2022,0.0145881
27.03.2022,0.0145881
28.03.2022,0.0143885
29.03.2022,0.0143116
30.03.2022,0.0144374
31.03.2022,0.0144694
01.04.2022,0.0144502
02.04.2022,0.0144502
03.04.2022,0.0144502
04.04.2022,0.014479
05.04.2022,0.0145134
06.04.2022,0.0144555
07.04.2022,0.0144534
08.04.2022,0.0145016
09.04.2022,0.0145016
10.04.2022,0.0145016
11.04.2022,0.0142751
12.04.2022,0.0143505
13.04.2022,0.0143537
14.04.2022,0.0143473
15.04.2022,0.0143473
16.04.2022,0.0143473
17.04.2022,0.0143473
18.04.2022,0.0143473
19.04.2022,0.0141317
20.04.2022,0.0141185
21.04.2022,0.0140092
22.04.2022,0.0140092
23.04.2022,0.0140092
24.04.2022,0.0140092
25.04.2022,0.0140092
26.04.2022,0.0143653
27.04.2022,0.0144267
28.04.2022,0.0142626
29.04.2022,0.0142751
30.04.2022,0.0142751
01.05.2022,0.0142751
02.05.2022,0.0142751
