Date,Exchange Rate
01.01.2025,0.0907561
02.01.2025,0.0912341
03.01.2025,0.0921123
04.01.2025,0.0921123
05.01.2025,0.0921123
06.01.2025,0.0922727
07.01.2025,0.0925237
08.01.2025,0.0930935
09.01.2025,0.0926877
10.01.2025,0.0925802
11.01.2025,0.0925802
12.01.2025,0.0925802
13.01.2025,0.0923419
14.01.2025,0.0925447
15.01.2025,0.0927373
16.01.2025,0.0923328
17.01.2025,0.0913116
18.01.2025,0.0913116
19.01.2025,0.0913116
20.01.2025,0.0908404
21.01.2025,0.0910205
22.01.2025,0.091093
23.01.2025,0.0918394
24.01.2025,0.0922318
25.01.2025,0.0922318
26.01.2025,0.0922318
27.01.2025,0.0905989
28.01.2025,0.0908079
29.01.2025,0.0918459
30.01.2025,0.0915861
31.01.2025,0.0910667
01.02.2025,0.0910667
02.02.2025,0.0910667
03.02.2025,0.090938
04.02.2025,0.0925521
05.02.2025,0.0910641
06.02.2025,0.0915167
07.02.2025,0.0918976
08.02.2025,0.0918976
09.02.2025,0.0918976
10.02.2025,0.0920919
11.02.2025,0.0918886
12.02.2025,0.0917528
13.02.2025,0.0912306
14.02.2025,0.0917601
15.02.2025,0.0917601
16.02.2025,0.0917601
17.02.2025,0.0916037
18.02.2025,0.0922914
19.02.2025,0.0922762
20.02.2025,0.0919875
21.02.2025,0.0919465
22.02.2025,0.0919465
23.02.2025,0.0919465
24.02.2025,0.0915209
25.02.2025,0.0909942
26.02.2025,0.0911023
27.02.2025,0.0916075
28.02.2025,0.0921731
01.03.2025,0.0921731
02.03.2025,0.0921731
03.03.2025,0.0921731
04.03.2025,0.0891372
05.03.2025,0.0888646
06.03.2025,0.0887916
07.03.2025,0.0887038
08.03.2025,0.0887038
09.03.2025,0.0887038
10.03.2025,0.0892767
11.03.2025,0.0880441
12.03.2025,0.0887545
13.03.2025,0.0895863
14.03.2025,0.0898939
15.03.2025,0.0898939
16.03.2025,0.0898939
17.03.2025,0.0901923
18.03.2025,0.089313
19.03.2025,0.0900234
20.03.2025,0.089313
21.03.2025,0.0891701
22.03.2025,0.0891701
23.03.2025,0.0891701
24.03.2025,0.0895838
25.03.2025,0.0903219
26.03.2025,0.0903394
27.03.2025,0.0893579
28.03.2025,0.0890325
29.03.2025,0.0890325
30.03.2025,0.0890325
31.03.2025,0.0886487
01.04.2025,0.0883472
02.04.2025,0.0889204
03.04.2025,0.0880093
04.04.2025,0.0867769
05.04.2025,0.0867769
06.04.2025,0.0867769
07.04.2025,0.0862465
08.04.2025,0.0870124
09.04.2025,0.0844497
10.04.2025,0.0863741
11.04.2025,0.0845837
12.04.2025,0.0845837
13.04.2025,0.0845837
14.04.2025,0.0851397
15.04.2025,0.0860784
16.04.2025,0.0860701
17.04.2025,0.0864467
18.04.2025,0.0864467
19.04.2025,0.0864467
20.04.2025,0.0864467
21.04.2025,0.0864467
22.04.2025,0.0866984
23.04.2025,0.087608
24.04.2025,0.0877621
25.04.2025,0.087755
26.04.2025,0.087755
27.04.2025,0.087755
28.04.2025,0.0882165
29.04.2025,0.0877258
30.04.2025,0.0880925
01.05.2025,0.0880925
02.05.2025,0.0875801
03.05.2025,0.0875801
04.05.2025,0.0875801
05.05.2025,0.0880303
06.05.2025,0.0880303
07.05.2025,0.0876999
08.05.2025,0.0884539
09.05.2025,0.0891148
10.05.2025,0.0891148
11.05.2025,0.0891148
12.05.2025,0.0901242
13.05.2025,0.0899092
14.05.2025,0.0900134
15.05.2025,0.090397
16.05.2025,0.0896475
17.05.2025,0.0896475
18.05.2025,0.0896475
19.05.2025,0.0892515
20.05.2025,0.0902431
21.05.2025,0.0894744
22.05.2025,0.0891185
23.05.2025,0.0894953
24.05.2025,0.0894953
25.05.2025,0.0894953
26.05.2025,0.0894953
27.05.2025,0.0894531
28.05.2025,0.0895678
29.05.2025,0.0893665
30.05.2025,0.0894028
31.05.2025,0.0894028
01.06.2025,0.0894028
02.06.2025,0.0888747
03.06.2025,0.0892763
04.06.2025,0.0894519
05.06.2025,0.0890755
06.06.2025,0.0896245
07.06.2025,0.0896245
08.06.2025,0.0896245
09.06.2025,0.0899203
10.06.2025,0.0898951
11.06.2025,0.0900006
12.06.2025,0.0892739
13.06.2025,0.0893861
14.06.2025,0.0893861
15.06.2025,0.0893861
16.06.2025,0.0893644
17.06.2025,0.0893216
18.06.2025,0.0896861
19.06.2025,0.0893326
20.06.2025,0.0892095
21.06.2025,0.0892095
22.06.2025,0.0892095
23.06.2025,0.0885544
24.06.2025,0.0885103
25.06.2025,0.0887573
26.06.2025,0.088621
27.06.2025,0.0885937
28.06.2025,0.0885937
29.06.2025,0.0885937
30.06.2025,0.0885396
01.07.2025,0.0886455
02.07.2025,0.0887573
03.07.2025,0.0883384
04.07.2025,0.0891672
05.07.2025,0.0891672
06.07.2025,0.0891672
07.07.2025,0.0890199
08.07.2025,0.0894924
09.07.2025,0.0899083
10.07.2025,0.0895445
11.07.2025,0.0893465
12.07.2025,0.0893465
13.07.2025,0.0893465
14.07.2025,0.089551
15.07.2025,0.0896376
16.07.2025,0.0896154
17.07.2025,0.0898068
18.07.2025,0.0896804
19.07.2025,0.0896804
20.07.2025,0.0896804
21.07.2025,0.0898076
22.07.2025,0.0896113
23.07.2025,0.089393
24.07.2025,0.0896302
25.07.2025,0.0898625
26.07.2025,0.0898625
27.07.2025,0.0898625
28.07.2025,0.0900735
29.07.2025,0.0901528
30.07.2025,0.0904669
31.07.2025,0.0907767
01.08.2025,0.0904815
02.08.2025,0.0904815
03.08.2025,0.0904815
04.08.2025,0.0897293
05.08.2025,0.0896565
06.08.2025,0.0899658
07.08.2025,0.0901454
08.08.2025,0.0902748
09.08.2025,0.0902748
10.08.2025,0.0902748
11.08.2025,0.0903849
12.08.2025,0.0902414
13.08.2025,0.0900748
14.08.2025,0.0895457
15.08.2025,0.0892604
16.08.2025,0.0892604
17.08.2025,0.0892604
18.08.2025,0.0890645
19.08.2025,0.0890637
20.08.2025,0.0894155
21.08.2025,0.0895855
22.08.2025,0.0899977
23.08.2025,0.0899977
24.08.2025,0.0899977
25.08.2025,0.0897071
26.08.2025,0.0900188
27.08.2025,0.0900773
28.08.2025,0.090013
29.08.2025,0.0897437
30.08.2025,0.0897437
31.08.2025,0.0897437
01.09.2025,0.0897133
02.09.2025,0.0894192
03.09.2025,0.0897285
04.09.2025,0.0894601
05.09.2025,0.0895022
06.09.2025,0.0895022
07.09.2025,0.0895022
08.09.2025,0.0895022
09.09.2025,0.0894184
10.09.2025,0.0896886
11.09.2025,0.0897961
12.09.2025,0.0902789
13.09.2025,0.0902789
14.09.2025,0.0902789
15.09.2025,0.0902648
16.09.2025,0.0902756
17.09.2025,0.0903252
18.09.2025,0.0907793
19.09.2025,0.0904317
20.09.2025,0.0904317
21.09.2025,0.0904317
22.09.2025,0.0904317
23.09.2025,0.0904367
24.09.2025,0.0904045
25.09.2025,0.0903336
26.09.2025,0.0906513
27.09.2025,0.0906513
28.09.2025,0.0906513
29.09.2025,0.0909777
30.09.2025,0.0908362
01.10.2025,0.0913355
02.10.2025,0.0905783
03.10.2025,0.0905502
04.10.2025,0.0905502
05.10.2025,0.0905502
06.10.2025,0.0909397
07.10.2025,0.0912809
08.10.2025,0.0914717
09.10.2025,0.0919599
10.10.2025,0.0920109
11.10.2025,0.0920109
12.10.2025,0.0920109
13.10.2025,0.0913355
14.10.2025,0.0910002
15.10.2025,0.0911809
16.10.2025,0.0910747
17.10.2025,0.090946
18.10.2025,0.090946
19.10.2025,0.090946
20.10.2025,0.0912443
21.10.2025,0.0913914
22.10.2025,0.0917197
23.10.2025,0.0915908
24.10.2025,0.0915137
25.10.2025,0.0915137
26.10.2025,0.0915137
27.10.2025,0.0913555
28.10.2025,0.0911779
29.10.2025,0.091124
30.10.2025,0.0910434
31.10.2025,0.0912719
01.11.2025,0.0912719
02.11.2025,0.0912719
03.11.2025,0.0917791
04.11.2025,0.0914042
05.11.2025,0.0912562
06.11.2025,0.0913082
07.11.2025,0.0911426
08.11.2025,0.0911426
09.11.2025,0.0911426
10.11.2025,0.0918497
11.11.2025,0.0920036
12.11.2025,0.0924157
13.11.2025,0.0921466
14.11.2025,0.0913867
15.11.2025,0.0913867
16.11.2025,0.0913867
17.11.2025,0.0920191
18.11.2025,0.0914961
19.11.2025,0.0921331
20.11.2025,0.0924624
21.11.2025,0.0920126
22.11.2025,0.0920126
23.11.2025,0.0920126
24.11.2025,0.0920854
25.11.2025,0.0917872
26.11.2025,0.0919767
27.11.2025,0.0920113
28.11.2025,0.0921831
29.11.2025,0.0921831
30.11.2025,0.0921831
01.12.2025,0.0918799
02.12.2025,0.0919694
03.12.2025,0.0918372
04.12.2025,0.0917588
05.12.2025,0.0922944
06.12.2025,0.0922944
07.12.2025,0.0922944
08.12.2025,0.0922627
09.12.2025,0.0919564
10.12.2025,0.0923459
11.12.2025,0.0918519
12.12.2025,0.0924314
13.12.2025,0.0924314
14.12.2025,0.0924314
15.12.2025,0.0925521
16.12.2025,0.0924624
17.12.2025,0.0927694
18.12.2025,0.0927083
19.12.2025,0.0926969
20.12.2025,0.0926969
21.12.2025,0.0926969
22.12.2025,0.0925013
23.12.2025,0.092479
24.12.2025,0.092479
25.12.2025,0.092479
26.12.2025,0.092479
27.12.2025,0.092479
28.12.2025,0.092479
29.12.2025,0.0926947
30.12.2025,0.0926021
31.12.2025,0.0926021
