Date,Exchange Rate
01.01.2018,1.63081
02.01.2018,1.62108
03.01.2018,1.62674
04.01.2018,1.62108
05.01.2018,1.62377
06.01.2018,1.62377
07.01.2018,1.62377
08.01.2018,1.63353
09.01.2018,1.63915
10.01.2018,1.63095
11.01.2018,1.62755
12.01.2018,1.61146
13.01.2018,1.61146
14.01.2018,1.61146
15.01.2018,1.59308
16.01.2018,1.59921
17.01.2018,1.60275
18.01.2018,1.59855
19.01.2018,1.59594
20.01.2018,1.59594
21.01.2018,1.59594
22.01.2018,1.59803
23.01.2018,1.59673
24.01.2018,1.58341
25.01.2018,1.57639
26.01.2018,1.57272
27.01.2018,1.57272
28.01.2018,1.57272
29.01.2018,1.57996
30.01.2018,1.57462
31.01.2018,1.57007
01.02.2018,1.56981
02.02.2018,1.56567
03.02.2018,1.56567
04.02.2018,1.56567
05.02.2018,1.57221
06.02.2018,1.58637
07.02.2018,1.58521
08.02.2018,1.59634
09.02.2018,1.5936
10.02.2018,1.5936
11.02.2018,1.5936
12.02.2018,1.5949
13.02.2018,1.58585
14.02.2018,1.58392
15.02.2018,1.56554
16.02.2018,1.56918
17.02.2018,1.56918
18.02.2018,1.56918
19.02.2018,1.57601
20.02.2018,1.58495
21.02.2018,1.58856
22.02.2018,1.59321
23.02.2018,1.59023
24.02.2018,1.59023
25.02.2018,1.59023
26.02.2018,1.58752
27.02.2018,1.58998
28.02.2018,1.6013
01.03.2018,1.60696
02.03.2018,1.58856
03.03.2018,1.58856
04.03.2018,1.58856
05.03.2018,1.58856
06.03.2018,1.57588
07.03.2018,1.57512
08.03.2018,1.57462
09.03.2018,1.59127
10.03.2018,1.59127
11.03.2018,1.59127
12.03.2018,1.58985
13.03.2018,1.58009
14.03.2018,1.58124
15.03.2018,1.58482
16.03.2018,1.58998
17.03.2018,1.58998
18.03.2018,1.58998
19.03.2018,1.58894
20.03.2018,1.59321
21.03.2018,1.59192
22.03.2018,1.58804
23.03.2018,1.58418
24.03.2018,1.58418
25.03.2018,1.58418
26.03.2018,1.57588
27.03.2018,1.58034
28.03.2018,1.57754
29.03.2018,1.5874
30.03.2018,1.5874
31.03.2018,1.5874
01.04.2018,1.5874
02.04.2018,1.5874
03.04.2018,1.58907
04.04.2018,1.59321
05.04.2018,1.59529
06.04.2018,1.59529
07.04.2018,1.59529
08.04.2018,1.59529
09.04.2018,1.59529
10.04.2018,1.58226
11.04.2018,1.57932
12.04.2018,1.58714
13.04.2018,1.58791
14.04.2018,1.58791
15.04.2018,1.58791
16.04.2018,1.58111
17.04.2018,1.58277
18.04.2018,1.57881
19.04.2018,1.57958
20.04.2018,1.58894
21.04.2018,1.58894
22.04.2018,1.58894
23.04.2018,1.59816
24.04.2018,1.60143
25.04.2018,1.60511
26.04.2018,1.60736
27.04.2018,1.62041
28.04.2018,1.62041
29.04.2018,1.62041
30.04.2018,1.6192
01.05.2018,1.6192
02.05.2018,1.62891
03.05.2018,1.63095
04.05.2018,1.63408
05.05.2018,1.63408
06.05.2018,1.63408
07.05.2018,1.63408
08.05.2018,1.64771
09.05.2018,1.64646
10.05.2018,1.6466
11.05.2018,1.63887
12.05.2018,1.63887
13.05.2018,1.63887
14.05.2018,1.63149
15.05.2018,1.64591
16.05.2018,1.65973
17.05.2018,1.65678
18.05.2018,1.66016
19.05.2018,1.66016
20.05.2018,1.66016
21.05.2018,1.66326
22.05.2018,1.65833
23.05.2018,1.67051
24.05.2018,1.67051
25.05.2018,1.67523
26.05.2018,1.67523
27.05.2018,1.67523
28.05.2018,1.67969
29.05.2018,1.69219
30.05.2018,1.68142
31.05.2018,1.67179
01.06.2018,1.67609
02.06.2018,1.67609
03.06.2018,1.67609
04.06.2018,1.66638
05.06.2018,1.67523
06.06.2018,1.66241
07.06.2018,1.65244
08.06.2018,1.66397
09.06.2018,1.66397
10.06.2018,1.66397
11.06.2018,1.65889
12.06.2018,1.65917
13.06.2018,1.66256
14.06.2018,1.66737
15.06.2018,1.68664
16.06.2018,1.68664
17.06.2018,1.68664
18.06.2018,1.68417
19.06.2018,1.69571
20.06.2018,1.68926
21.06.2018,1.69512
22.06.2018,1.67911
23.06.2018,1.67911
24.06.2018,1.67911
25.06.2018,1.67165
26.06.2018,1.67566
27.06.2018,1.68374
28.06.2018,1.68853
29.06.2018,1.67767
30.06.2018,1.67767
01.07.2018,1.67767
02.07.2018,1.68041
03.07.2018,1.67667
04.07.2018,1.67998
05.07.2018,1.67036
06.07.2018,1.66823
07.07.2018,1.66823
08.07.2018,1.66823
09.07.2018,1.65903
10.07.2018,1.66979
11.07.2018,1.66666
12.07.2018,1.67767
13.07.2018,1.67983
14.07.2018,1.67983
15.07.2018,1.67983
16.07.2018,1.6688
17.07.2018,1.67065
18.07.2018,1.68446
19.07.2018,1.68781
20.07.2018,1.67595
21.07.2018,1.67595
22.07.2018,1.67595
23.07.2018,1.66937
24.07.2018,1.67079
25.07.2018,1.67308
26.07.2018,1.66937
27.07.2018,1.68243
28.07.2018,1.68243
29.07.2018,1.68243
30.07.2018,1.67394
31.07.2018,1.66652
01.08.2018,1.67222
02.08.2018,1.68359
03.08.2018,1.68781
04.08.2018,1.68781
05.08.2018,1.68781
06.08.2018,1.69439
07.08.2018,1.68577
08.08.2018,1.68766
09.08.2018,1.68708
10.08.2018,1.70725
11.08.2018,1.70725
12.08.2018,1.70725
13.08.2018,1.71519
14.08.2018,1.71474
15.08.2018,1.72761
16.08.2018,1.72017
17.08.2018,1.717
18.08.2018,1.717
19.08.2018,1.717
20.08.2018,1.71264
21.08.2018,1.70043
22.08.2018,1.68374
23.08.2018,1.68912
24.08.2018,1.68781
25.08.2018,1.68781
26.08.2018,1.68781
27.08.2018,1.68128
28.08.2018,1.67022
29.08.2018,1.67738
30.08.2018,1.67279
31.08.2018,1.67868
01.09.2018,1.67868
02.09.2018,1.67868
03.09.2018,1.68475
04.09.2018,1.6916
05.09.2018,1.68868
06.09.2018,1.68868
07.09.2018,1.68388
08.09.2018,1.68388
09.09.2018,1.68388
10.09.2018,1.69029
11.09.2018,1.68985
12.09.2018,1.68824
13.09.2018,1.68316
14.09.2018,1.67322
15.09.2018,1.67322
16.09.2018,1.67322
17.09.2018,1.6758
18.09.2018,1.67208
19.09.2018,1.67638
20.09.2018,1.66185
21.09.2018,1.66326
22.09.2018,1.66326
23.09.2018,1.66326
24.09.2018,1.66326
25.09.2018,1.66072
26.09.2018,1.66638
27.09.2018,1.67065
28.09.2018,1.68956
29.09.2018,1.68956
30.09.2018,1.68956
01.10.2018,1.68519
02.10.2018,1.69439
03.10.2018,1.69365
04.10.2018,1.70043
05.10.2018,1.69983
06.10.2018,1.69983
07.10.2018,1.69983
08.10.2018,1.70398
09.10.2018,1.71039
10.10.2018,1.70072
11.10.2018,1.6897
12.10.2018,1.68985
13.10.2018,1.68985
14.10.2018,1.68985
15.10.2018,1.68883
16.10.2018,1.68795
17.10.2018,1.6963
18.10.2018,1.69998
19.10.2018,1.70517
20.10.2018,1.70517
21.10.2018,1.70517
22.10.2018,1.70161
23.10.2018,1.70398
24.10.2018,1.7173
25.10.2018,1.71324
26.10.2018,1.72396
27.10.2018,1.72396
28.10.2018,1.72396
29.10.2018,1.7185
30.10.2018,1.71986
31.10.2018,1.72807
01.11.2018,1.71669
02.11.2018,1.71309
03.11.2018,1.71309
04.11.2018,1.71309
05.11.2018,1.72017
06.11.2018,1.71144
07.11.2018,1.70265
08.11.2018,1.71204
09.11.2018,1.72381
10.11.2018,1.72381
11.11.2018,1.72381
12.11.2018,1.7362
13.11.2018,1.73682
14.11.2018,1.73144
15.11.2018,1.73006
16.11.2018,1.72381
17.11.2018,1.72381
18.11.2018,1.72381
19.11.2018,1.71159
20.11.2018,1.71249
21.11.2018,1.71429
22.11.2018,1.71519
23.11.2018,1.72289
24.11.2018,1.72289
25.11.2018,1.72289
26.11.2018,1.72123
27.11.2018,1.72654
28.11.2018,1.73328
29.11.2018,1.7176
30.11.2018,1.72183
01.12.2018,1.72183
02.12.2018,1.72183
03.12.2018,1.72594
04.12.2018,1.71429
05.12.2018,1.72259
06.12.2018,1.72305
07.12.2018,1.72002
08.12.2018,1.72002
09.12.2018,1.72002
10.12.2018,1.71189
11.12.2018,1.71881
12.12.2018,1.72381
13.12.2018,1.72002
14.12.2018,1.73312
15.12.2018,1.73312
16.12.2018,1.73312
17.12.2018,1.72457
18.12.2018,1.71911
19.12.2018,1.71489
20.12.2018,1.708
21.12.2018,1.71354
22.12.2018,1.71354
23.12.2018,1.71354
24.12.2018,1.71354
25.12.2018,1.71354
26.12.2018,1.71354
27.12.2018,1.71911
28.12.2018,1.70755
29.12.2018,1.70755
30.12.2018,1.70755
31.12.2018,1.70815
